
 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            ZG           SZ      
   0.0000       0.0000       48.704     
   50.000       50.000       29.685     
   100.00       100.00       27.752     
   150.00       150.00       25.603     
   200.00       200.00       23.446     
   250.00       250.00       21.385     
   300.00       300.00       19.468     
   350.00       350.00       17.713     
   400.00       400.00       16.118     
   450.00       450.00       14.671     
   500.00       500.00       13.356     
   550.00       550.00       12.153     
   600.00       600.00       11.030     
   650.00       650.00       9.9454     
   700.00       700.00       8.8329     
   750.00       750.00       7.5898     
   800.00       800.00       6.0349     
   850.00       850.00       3.8983     
   900.00       900.00      0.69162     
   950.00       950.00      -4.2492     
   1000.0       1000.0      -8.7253 
